epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9297,1.53149,6.4948,1.77268,0.29484,0.57143,0.29506,0.08068,1.71162,8.90333,2.05637,0.00012,0.00012,0.00012
2,18.6431,1.1067,3.78445,1.42242,0.78527,0.87111,0.87259,0.71729,0.72127,3.90965,1.0881,0.00025571,0.00025571,0.00025571
3,24.6751,0.88425,1.82367,1.20424,0.93749,0.85714,0.92054,0.74537,0.75896,2.71338,1.12675,0.0003868,0.0003868,0.0003868
4,28.3583,0.92134,1.18891,1.19661,0.94815,0.87135,0.95061,0.63725,0.88858,2.60853,1.38743,0.00051327,0.00051327,0.00051327
5,31.9806,0.90764,0.93321,1.18375,0.87963,0.90476,0.93502,0.72094,0.91884,2.40232,1.38665,0.00063512,0.00063512,0.00063512
6,36.1723,0.91073,0.92005,1.20792,0.66617,0.85714,0.83193,0.62533,0.96389,2.45408,1.69869,0.00075235,0.00075235,0.00075235
7,39.7182,0.91729,0.76154,1.17432,0.73103,0.66667,0.65328,0.36364,1.67764,2.31022,2.42612,0.00086496,0.00086496,0.00086496
8,42.9009,1.07175,0.86307,1.31652,0.46274,0.61905,0.47104,0.24158,1.70725,2.44166,2.74251,0.00097295,0.00097295,0.00097295
9,46.6252,0.98425,0.80914,1.26771,0.19464,0.09524,0.02843,0.01658,3.34293,4.41956,4.04991,0.00107632,0.00107632,0.00107632
10,50.8393,0.93954,0.70403,1.24644,0.11698,0.04762,0.00979,0.00202,3.48957,5.81565,4.99052,0.00117507,0.00117507,0.00117507
11,54.0852,0.97747,0.72391,1.25295,0.79347,0.04762,0.04567,0.03175,4.01009,5.65054,5.14936,0.0012692,0.0012692,0.0012692
12,57.3863,0.95033,0.67616,1.17147,0.9557,0.19048,0.19542,0.09036,3.84331,4.04545,6.25989,0.00135871,0.00135871,0.00135871
13,61.5504,0.98616,0.75835,1.26175,0.95951,0.09524,0.09519,0.0461,3.94803,4.20419,6.12435,0.0014436,0.0014436,0.0014436
14,64.9668,0.93467,0.72137,1.21029,0,0,0,0,4.94883,4.51072,6.53108,0.00152387,0.00152387,0.00152387
15,68.188,0.95058,0.70192,1.25001,0.1066,0.04762,0.06254,0.0114,4.03584,2.91841,8.337,0.001538,0.001538,0.001538
16,71.4008,0.94576,0.61915,1.19402,0.00155,0.09524,0.00189,0.00049,5.19379,3.46471,12.2578,0.001505,0.001505,0.001505
17,75.5578,0.97479,0.63008,1.19315,0,0,0,0,5.44151,4.11896,17.3119,0.001472,0.001472,0.001472
18,79.0236,0.9049,0.6546,1.19233,0.00702,0.09524,0.00443,0.00111,5.35596,4.183,17.5585,0.001439,0.001439,0.001439
19,82.2814,0.92172,0.61017,1.19615,0.00746,0.09524,0.00439,0.00192,4.00939,5.26041,5.50999,0.001406,0.001406,0.001406
20,86.0126,0.91025,0.62595,1.20869,0.00386,0.04762,0.00399,0.00222,3.60298,5.19408,4.87614,0.001373,0.001373,0.001373
21,89.746,0.91126,0.5975,1.24011,0.00287,0.04762,0.0019,0.00019,3.67193,5.52208,5.74125,0.00134,0.00134,0.00134
22,93.0974,0.88162,0.59301,1.24979,0.07835,0.09524,0.04551,0.02894,2.4851,3.45718,2.4414,0.001307,0.001307,0.001307
23,96.3381,0.91733,0.56321,1.1876,0.5867,0.2381,0.27687,0.19296,1.78651,2.80471,1.87594,0.001274,0.001274,0.001274
24,100.447,0.85339,0.56263,1.1518,0.83389,0.52381,0.62562,0.4745,0.99729,2.68112,1.22086,0.001241,0.001241,0.001241
25,103.723,0.87701,0.58098,1.17478,0.87893,0.69215,0.78896,0.63854,0.83871,2.0256,1.14626,0.001208,0.001208,0.001208
26,107.22,0.91659,0.62856,1.17036,0.91727,0.90476,0.92685,0.70594,0.81387,1.32422,1.16245,0.001175,0.001175,0.001175
27,110.584,0.8417,0.54817,1.13265,0.97195,0.95238,0.99152,0.83643,0.59498,0.79488,0.99123,0.001142,0.001142,0.001142
28,114.894,0.80904,0.51836,1.10092,0.9418,0.95238,0.97343,0.82998,0.64334,0.53198,1.02328,0.001109,0.001109,0.001109
29,118.147,0.84277,0.55967,1.12669,0.94791,1,0.99318,0.80908,0.65318,0.49814,1.02661,0.001076,0.001076,0.001076
30,121.403,0.78438,0.52102,1.11611,0.95258,0.95672,0.99318,0.87047,0.63074,0.49714,1.0162,0.001043,0.001043,0.001043
31,125.425,0.8446,0.53219,1.17502,0.98449,1,0.995,0.85344,0.6321,0.48244,1.00282,0.00101,0.00101,0.00101
32,129.15,0.81327,0.50945,1.13856,0.9764,1,0.995,0.86704,0.61543,0.44553,1.00697,0.000977,0.000977,0.000977
33,132.464,0.76461,0.49303,1.07145,0.96271,1,0.995,0.87859,0.5757,0.41569,0.97106,0.000944,0.000944,0.000944
34,135.763,0.74808,0.48261,1.08587,0.96012,1,0.995,0.85709,0.62618,0.37631,1.00154,0.000911,0.000911,0.000911
35,139.948,0.70718,0.44427,1.02616,0.99519,1,0.995,0.85914,0.58301,0.32922,0.95512,0.000878,0.000878,0.000878
36,143.24,0.71156,0.4484,1.10409,0.99403,1,0.995,0.88849,0.55694,0.34575,0.93119,0.000845,0.000845,0.000845
37,146.634,0.77541,0.49385,1.11047,0.99682,1,0.995,0.88697,0.56657,0.32389,0.93782,0.000812,0.000812,0.000812
38,150.071,0.64757,0.4404,1.0345,0.99706,1,0.995,0.89558,0.49261,0.3065,0.90317,0.000779,0.000779,0.000779
39,154.287,0.75661,0.4792,1.11216,0.99712,1,0.995,0.89947,0.4488,0.29814,0.86479,0.000746,0.000746,0.000746
40,157.517,0.6961,0.44102,1.05783,0.99684,1,0.995,0.87109,0.59311,0.32574,0.9607,0.000713,0.000713,0.000713
